units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
208,2,tanh,adam,0.003,0.4,1e-06,0436,COMPLETED,0.8833558559417725,0.7162790894508362,0.5133333206176758,0.8967580795288086,0.27853888273239136
80,2,elu,adam,0.0003,0.1,1e-05,0076,COMPLETED,0.8833509683609009,0.7203791737556458,0.5066666603088379,0.8967580795288086,0.2779390215873718
240,4,tanh,rmsprop,0.0003,0.4,0.0,1371,COMPLETED,0.8833470344543457,0.7102803587913513,0.5066666603088379,0.895261824131012,0.2737587094306946
224,1,tanh,rmsprop,0.0003,0.1,1e-05,0262,COMPLETED,0.8833410739898682,0.6972476840019226,0.5066666603088379,0.8932668566703796,0.2745021879673004
176,1,tanh,rmsprop,0.001,0.4,1e-06,1731,COMPLETED,0.883335292339325,0.708737850189209,0.4866666793823242,0.8932668566703796,0.2702536880970001
128,2,tanh,rmsprop,0.001,0.2,0.0,0237,COMPLETED,0.8832961320877075,0.7586206793785095,0.4399999976158142,0.895261824131012,0.2737385034561157
16,3,tanh,adam,0.001,0.2,0.0,0054,COMPLETED,0.8832883834838867,0.7096773982048035,0.5133333206176758,0.8957605957984924,0.2691967487335205
96,4,tanh,adam,0.0003,0.4,1e-06,1159,COMPLETED,0.8832883238792419,0.6780303120613098,0.596666693687439,0.8972568511962891,0.2795414924621582
128,3,tanh,adam,0.0003,0.30000000000000004,0.0,0336,COMPLETED,0.8832648992538452,0.7117117047309875,0.5266666412353516,0.8972568511962891,0.2735978066921234
96,2,relu,adam,0.001,0.2,0.0001,1582,COMPLETED,0.883256196975708,0.75,0.49000000953674316,0.8992518782615662,0.2928365468978882
64,1,tanh,rmsprop,0.001,0.2,0.0001,1779,COMPLETED,0.8832521438598633,0.7050691246986389,0.5099999904632568,0.8947631120681763,0.29182949662208557
192,3,elu,adam,0.0003,0.4,0.0001,1796,COMPLETED,0.8832374811172485,0.7172130942344666,0.5833333134651184,0.9032418727874756,0.3017483949661255
144,1,relu,rmsprop,0.0003,0.0,0.001,0223,COMPLETED,0.8832160234451294,0.7168141603469849,0.5400000214576721,0.8992518782615662,0.3127959668636322
208,1,elu,adam,0.0003,0.4,1e-06,0795,COMPLETED,0.8832072019577026,0.7453703880310059,0.5366666913032532,0.9032418727874756,0.27752426266670227
48,3,tanh,adam,0.0003,0.2,1e-06,1041,COMPLETED,0.883203387260437,0.7239819169044495,0.5333333611488342,0.8997506499290466,0.2712880074977875
96,3,tanh,adam,0.001,0.30000000000000004,0.0,1285,COMPLETED,0.8832032680511475,0.7289719581604004,0.5199999809265137,0.8992518782615662,0.27025172114372253
96,2,tanh,rmsprop,0.001,0.1,0.0,1957,COMPLETED,0.8832004070281982,0.7297297120094299,0.44999998807907104,0.8927680850028992,0.26983869075775146
144,1,relu,adam,0.0003,0.0,0.0,1996,COMPLETED,0.8831964135169983,0.7276995182037354,0.5166666507720947,0.8987531065940857,0.2721644341945648
64,2,elu,adam,0.001,0.30000000000000004,1e-06,0895,COMPLETED,0.8831789493560791,0.7230046987533569,0.5133333206176758,0.8977556228637695,0.2745142877101898
144,3,relu,rmsprop,0.0003,0.0,0.001,1126,COMPLETED,0.8831642270088196,0.7203791737556458,0.5066666603088379,0.8967580795288086,0.316466748714447
16,2,elu,rmsprop,0.001,0.30000000000000004,0.0001,0950,COMPLETED,0.8831545114517212,0.7371134161949158,0.476666659116745,0.8962593674659729,0.28546348214149475
128,2,tanh,rmsprop,0.0003,0.2,0.0,1331,COMPLETED,0.8831437230110168,0.7150259017944336,0.46000000834465027,0.891770601272583,0.27122944593429565
208,3,relu,adam,0.0003,0.30000000000000004,0.0001,1908,COMPLETED,0.8831143975257874,0.7016128897666931,0.5799999833106995,0.9002493619918823,0.3135751485824585
256,3,elu,adam,0.01,0.2,1e-06,0567,COMPLETED,0.8830860257148743,0.6706827282905579,0.5566666722297668,0.8927680850028992,0.32528895139694214
32,2,relu,adam,0.0003,0.4,1e-06,0742,COMPLETED,0.8830811977386475,0.7276995182037354,0.5166666507720947,0.8987531065940857,0.2817574739456177
32,3,elu,adam,0.001,0.2,1e-06,0464,COMPLETED,0.8830801844596863,0.7081544995307922,0.550000011920929,0.8987531065940857,0.27233001589775085
160,1,relu,adam,0.0003,0.30000000000000004,0.0001,1745,COMPLETED,0.883056640625,0.7219731211662292,0.5366666913032532,0.8997506499290466,0.28789886832237244
208,2,tanh,adam,0.0003,0.2,0.0001,1559,COMPLETED,0.883056640625,0.734883725643158,0.5266666412353516,0.9007481336593628,0.2997424304485321
128,3,relu,adam,0.001,0.4,0.0001,0727,COMPLETED,0.8830264806747437,0.7136150002479553,0.5066666603088379,0.8957605957984924,0.29848772287368774
48,1,tanh,adam,0.001,0.30000000000000004,1e-05,0830,COMPLETED,0.8830235004425049,0.7268292903900146,0.49666666984558105,0.8967580795288086,0.2720242738723755
