units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
48,2,tanh,adam,0.001,0.30000000000000004,1e-06,057,COMPLETED,0.8831866979598999,0.71100914478302,0.5166666507720947,0.8962593674659729,0.2680701017379761
80,4,relu,adam,0.0003,0.2,0.0,056,COMPLETED,0.8831544518470764,0.692307710647583,0.5699999928474426,0.8977556228637695,0.27932003140449524
80,3,relu,adam,0.001,0.30000000000000004,0.0,071,COMPLETED,0.8830547332763672,0.7094017267227173,0.5533333420753479,0.8992518782615662,0.27981024980545044
48,2,relu,adam,0.0003,0.0,1e-05,136,COMPLETED,0.8829637765884399,0.7155172228813171,0.5533333420753479,0.9002493619918823,0.2748790681362152
48,3,relu,adam,0.001,0.4,0.0001,087,COMPLETED,0.882940411567688,0.7229437232017517,0.5566666722297668,0.901745617389679,0.2903270721435547
80,2,relu,adam,0.0003,0.4,0.0001,008,COMPLETED,0.8827937841415405,0.713004469871521,0.5299999713897705,0.8977556228637695,0.29031288623809814
144,1,tanh,adam,0.0003,0.30000000000000004,0.0001,077,COMPLETED,0.8827419281005859,0.7285714149475098,0.5099999904632568,0.8982543349266052,0.28482571244239807
80,4,tanh,adam,0.0003,0.2,0.0001,161,COMPLETED,0.8826519846916199,0.7136752009391785,0.5566666722297668,0.9002493619918823,0.2928776443004608
80,2,tanh,adam,0.001,0.1,1e-05,076,COMPLETED,0.8825562000274658,0.7259615659713745,0.503333330154419,0.8972568511962891,0.2791721820831299
176,4,tanh,adam,0.001,0.4,0.0001,069,COMPLETED,0.8825445175170898,0.7411167621612549,0.4866666793823242,0.8977556228637695,0.30593618750572205
96,2,relu,adam,0.0003,0.30000000000000004,1e-05,003,COMPLETED,0.8825445175170898,0.7419354915618896,0.5366666913032532,0.9027431607246399,0.2874316871166229
192,1,relu,adam,0.001,0.2,0.0,114,COMPLETED,0.8825033903121948,0.738095223903656,0.5166666507720947,0.9002493619918823,0.2770506739616394
96,3,relu,adam,0.0003,0.4,0.0,160,COMPLETED,0.8824633359909058,0.7285068035125732,0.5366666913032532,0.9007481336593628,0.2729252874851227
96,4,relu,adam,0.001,0.2,0.0,126,COMPLETED,0.8824477195739746,0.6870229244232178,0.6000000238418579,0.8992518782615662,0.2728470265865326
112,2,relu,adam,0.0003,0.1,0.0001,100,COMPLETED,0.8824213147163391,0.7224880456924438,0.503333330154419,0.8967580795288086,0.2988179326057434
144,1,relu,adam,0.001,0.1,1e-05,000,COMPLETED,0.8823978304862976,0.7488584518432617,0.54666668176651,0.9047381281852722,0.27603834867477417
64,3,tanh,adam,0.0003,0.2,1e-06,176,COMPLETED,0.8823381662368774,0.7136563658714294,0.5400000214576721,0.8987531065940857,0.2722661793231964
176,2,tanh,adam,0.001,0.30000000000000004,1e-05,064,COMPLETED,0.8823167085647583,0.743842363357544,0.503333330154419,0.8997506499290466,0.2763829827308655
96,4,relu,adam,0.001,0.4,1e-06,113,COMPLETED,0.8822883367538452,0.7051281929016113,0.550000011920929,0.8982543349266052,0.27902859449386597
192,3,relu,adam,0.001,0.2,1e-06,049,COMPLETED,0.8822600245475769,0.7142857313156128,0.5,0.895261824131012,0.27698642015457153
192,1,tanh,adam,0.0003,0.2,0.0001,002,COMPLETED,0.8821603059768677,0.7251184582710266,0.5099999904632568,0.8977556228637695,0.28790825605392456
112,3,relu,adam,0.0003,0.4,1e-06,092,COMPLETED,0.8821114301681519,0.7232142686843872,0.5400000214576721,0.9002493619918823,0.27321627736091614
48,3,tanh,adam,0.0003,0.1,1e-05,144,COMPLETED,0.882081151008606,0.7046413421630859,0.5566666722297668,0.8987531065940857,0.2741551399230957
176,2,tanh,adam,0.0003,0.30000000000000004,1e-05,027,COMPLETED,0.8818944692611694,0.726457417011261,0.5400000214576721,0.9007481336593628,0.28129392862319946
96,3,tanh,adam,0.0003,0.1,1e-06,052,COMPLETED,0.8818739056587219,0.699999988079071,0.5366666913032532,0.8962593674659729,0.2739984095096588
160,3,tanh,adam,0.0003,0.4,0.0,014,COMPLETED,0.8818719387054443,0.7038626670837402,0.54666668176651,0.8977556228637695,0.27442148327827454
64,1,relu,adam,0.0003,0.1,1e-06,171,COMPLETED,0.8818093538284302,0.7142857313156128,0.5333333611488342,0.8982543349266052,0.281129390001297
