CentreName,LearnerCode,BookingType,LeadSource,DiscountType,Gender,Age,Nationality,CourseLevel,academic_stage,subject_cluster,delivery_variant,IsFirstIntake,CompletedCourse,dropout,progression_degree_level,ProgressionUniversity
UK_NE_04,7914181348,Agent,Standard Agent Booking,,Male,22,Taiwanese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,No,1,BA,UK_NE_05
UK_NE_04,7845917516,Agent,Standard Agent Booking,,Female,26,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,8517474000,Agent,Standard Agent Booking,,Female,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,2197192365,Agent,Standard Agent Booking,,Female,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,8487657102,Agent,Standard Agent Booking,,Male,26,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MA,UK_NE_05
UK_NE_04,4354534460,Agent,Standard Agent Booking,,Male,28,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MA,UK_NE_05
UK_NE_04,835040000,Agent,Standard Agent Booking,,Female,25,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MA,UK_NE_05
UK_NE_04,6889587305,Agent,Standard Agent Booking,,Female,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BSc,UK_NE_05
UK_NE_04,2197825612,Agent,Standard Agent Booking,,Male,28,Taiwanese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,129242348,Agent,Standard Agent Booking,Other Scholarships / Bursaries,Female,21,Lebanese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,681048027,Agent,Standard Agent Booking,,Female,26,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,3136812427,Agent,Standard Agent Booking,Bursary,Male,22,Hong Kong Chinese,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BEng,UK_NE_05
UK_NE_04,4831324879,Agent,Standard Agent Booking,,Male,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,9352887453,Agent,Standard Agent Booking,,Female,23,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
