number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
1123,0.8848621700879765,2026-03-23 18:04:17.693403,2026-03-23 18:04:17.994572,0 days 00:00:00.301169,0.9733360591484175,2.0821119191407558,0.12594248670170152,8,1.17560832221917,0.027207922583288944,0.011961189390800226,0.8830768630531214,COMPLETE
1124,0.8804379276637342,2026-03-23 18:04:18.010525,2026-03-23 18:04:18.308772,0 days 00:00:00.298247,0.9933537733392818,2.286484956725212,0.11248600189190443,8,1.119597491982401,3.633309504919334,0.014868231672121828,0.8670341671162582,COMPLETE
1125,0.8759110459433042,2026-03-23 18:04:18.344043,2026-03-23 18:04:18.588842,0 days 00:00:00.244799,0.9796774684387581,2.519362378203247,0.1338398367331704,8,9.608466893684033,0.39715449260746244,0.03466861407002295,0.784115446502043,COMPLETE
1126,0.8850263929618769,2026-03-23 18:04:18.604571,2026-03-23 18:04:18.878078,0 days 00:00:00.273507,0.9599228487267772,2.661500703886946,0.14932442186912384,8,1.2057911413451003,0.20049272839094023,0.018683084671922357,0.8543565963685656,COMPLETE
1127,0.8852023460410556,2026-03-23 18:04:18.897583,2026-03-23 18:04:19.172453,0 days 00:00:00.274870,0.9857040885079323,1.4858261770711627,0.16267960512508756,8,1.0499982766080553,0.059952095277859885,0.025847256897152344,0.8950993871006182,COMPLETE
1128,0.8854398826979472,2026-03-23 18:04:19.186230,2026-03-23 18:04:19.440563,0 days 00:00:00.254333,0.9988748485896325,1.7392018594080256,0.12113413459944188,8,1.127591655632069,0.7239223918608899,0.021317460667422218,0.8741993675685327,COMPLETE
1129,0.8860537634408603,2026-03-23 18:04:19.457090,2026-03-23 18:04:19.735192,0 days 00:00:00.278102,0.9672226861385164,1.9143819770884243,0.13984794570969475,8,1.3986524517561538,1.149051976238281,0.029334714326837645,0.8601800071091356,COMPLETE
1130,0.8883597262952102,2026-03-23 18:04:19.752613,2026-03-23 18:04:20.035050,0 days 00:00:00.282437,0.9803424343783143,1.3107521179213897,0.12580205352971374,8,1.2724934430774508,0.012107770877400805,0.035222431047987064,0.8501145728216367,COMPLETE
1131,0.8850215053763439,2026-03-23 18:04:20.050824,2026-03-23 18:04:20.337670,0 days 00:00:00.286846,0.9687861586845639,1.10151703674234,0.1344935964321283,8,1.3548812430655415,0.010874707243835633,0.04504053493275593,0.8492637568118259,COMPLETE
1132,0.8866080156402736,2026-03-23 18:04:20.353424,2026-03-23 18:04:20.654924,0 days 00:00:00.301500,0.9517373885411552,1.2585062360698938,0.1264046216021697,8,1.3558996041860325,0.013416215844349655,0.038803931102597694,0.8486612337893426,COMPLETE
1133,0.8849550342130986,2026-03-23 18:04:20.670777,2026-03-23 18:04:20.955094,0 days 00:00:00.284317,0.9608279537762994,1.2689965585358907,0.14027305073209287,8,1.3151556921935539,0.024479577319475795,0.03818033506843735,0.9004691751796254,COMPLETE
1134,0.8847829912023459,2026-03-23 18:04:20.970317,2026-03-23 18:04:21.251254,0 days 00:00:00.280937,0.9734980710562737,1.1177466373857439,0.13164158242689725,8,1.3187472136536298,0.012272906452965823,0.047644584813948905,0.883041936844698,COMPLETE
1135,0.8857165200391006,2026-03-23 18:04:21.268783,2026-03-23 18:04:21.567098,0 days 00:00:00.298315,0.9775099514803232,1.2557651908113947,0.1532337442499561,8,1.2795131799385724,0.01818769961681327,0.034195665382989,0.8683823258527441,COMPLETE
1136,0.8844398826979472,2026-03-23 18:04:21.581717,2026-03-23 18:04:21.883834,0 days 00:00:00.302117,0.968661274510762,1.2128723831785293,0.1753462936695383,8,1.4259446577198402,0.0113143098407386,0.04334150453002818,0.8760749147884834,COMPLETE
1137,0.8832033235581623,2026-03-23 18:04:21.898418,2026-03-23 18:04:22.181855,0 days 00:00:00.283437,0.9809583896002392,1.1853747444279814,0.14417297124969686,6,1.5251680345264773,0.018589689224066674,0.03405341624391387,0.8603516941429146,COMPLETE
1138,0.8824477028347997,2026-03-23 18:04:22.198591,2026-03-23 18:04:22.557189,0 days 00:00:00.358598,0.960877807127518,1.3285540404184557,0.12867346344736535,5,1.2332868125991423,0.007421006578990489,0.033052400221863926,0.8461611787397583,COMPLETE
1139,0.8830664711632453,2026-03-23 18:04:22.576214,2026-03-23 18:04:22.859208,0 days 00:00:00.282994,0.952903109896151,1.3942969754030898,0.14859122691360985,8,1.2381876299950132,0.013225786983236947,0.04041345751526769,0.8905548486728341,COMPLETE
1140,0.8780058651026394,2026-03-23 18:04:22.875721,2026-03-23 18:04:23.216338,0 days 00:00:00.340617,0.6963136128467906,1.3688957201540726,0.13481478357209675,4,8.898228004419561,0.007508864919243019,0.029718053417898634,0.8524896864629541,COMPLETE
1141,0.8849677419354839,2026-03-23 18:04:23.233826,2026-03-23 18:04:23.526383,0 days 00:00:00.292557,0.9718540066556087,1.3712813909881436,0.1589071075807649,8,1.285281229323673,0.03846036597429062,0.04901925539754501,0.8665055684861329,COMPLETE
1142,0.8814418377321602,2026-03-23 18:04:23.541734,2026-03-23 18:04:23.850770,0 days 00:00:00.309036,0.9820509517729678,1.3274292133109018,0.12456920444341807,8,6.575468363292715,0.009933950428262903,0.013870151727907372,0.8788397589186846,COMPLETE
1143,0.8855278592375366,2026-03-23 18:04:23.866166,2026-03-23 18:04:24.143157,0 days 00:00:00.276991,0.96460887948237,1.151339586717544,0.19604932776134548,8,1.4256457111728134,0.027890529613362695,0.03544818900801762,0.8563606449421666,COMPLETE
1144,0.8803519061583577,2026-03-23 18:04:24.156880,2026-03-23 18:04:24.416285,0 days 00:00:00.259405,0.9779356705387704,1.4236476614956997,0.14205664223484168,8,1.265420340981183,0.01890031367630821,0.017483874452439048,0.871455837477981,COMPLETE
1145,0.88572238514174,2026-03-23 18:04:24.431832,2026-03-23 18:04:24.703375,0 days 00:00:00.271543,0.9858368402016049,1.5192808085089897,0.1310735191992813,8,1.2261615597596944,0.003987120659966957,1.4117409038473754,0.861881935308194,COMPLETE
1146,0.8818338220918865,2026-03-23 18:04:24.720400,2026-03-23 18:04:25.081842,0 days 00:00:00.361442,0.9729535860196966,1.2997640068935352,0.16691419188206186,3,1.3764027378976054,0.014938635540229573,0.02265910165822935,0.8421520200737672,COMPLETE
1147,0.8840742913000977,2026-03-23 18:04:25.097288,2026-03-23 18:04:25.368126,0 days 00:00:00.270838,0.7166332633839295,1.4477270660254973,0.15448916153471937,8,2.9223522171653027,5.514126562324287e-08,0.029240983477160132,0.8498132075716235,COMPLETE
1148,0.8853900293255133,2026-03-23 18:04:25.384007,2026-03-23 18:04:25.673472,0 days 00:00:00.289465,0.9495838682530201,0.9816916144037392,0.12034096844638859,8,1.2863390531093086,0.02925275489224478,0.025202804895426107,0.8824561958419153,COMPLETE
1149,0.8852267839687195,2026-03-23 18:04:25.690133,2026-03-23 18:04:25.973835,0 days 00:00:00.283702,0.9934794411927277,1.5462719489737562,0.1374693508101596,8,1.1734124944716593,0.0412995382479213,0.04053613594427204,0.8682803223223167,COMPLETE
1150,0.8855767350928642,2026-03-23 18:04:25.990980,2026-03-23 18:04:26.275359,0 days 00:00:00.284379,0.9855857913604766,1.078230703140295,0.12401668142081115,8,1.2123373047235486,2.0824910516560133,0.017838766294682864,0.8621754437373842,COMPLETE
1151,0.8853655913978495,2026-03-23 18:04:26.291647,2026-03-23 18:04:24.585257,-1 days +23:59:58.293610,0.9612838402377526,1.489770015804043,0.14943849568279677,8,1.3073636177917531,0.008647905274827028,2.2538622452248016,0.8879614932040569,COMPLETE
1152,0.8850469208211144,2026-03-23 18:04:24.601051,2026-03-23 18:04:24.881730,0 days 00:00:00.280679,0.9762397113434119,1.2482267382744614,0.13024160293164008,8,1.1999017937600032,0.02086046280065971,0.011657076211165813,0.8746639588358892,COMPLETE
1153,0.8844838709677418,2026-03-23 18:04:24.898160,2026-03-23 18:04:25.228367,0 days 00:00:00.330207,0.9676496345241933,1.6325106371552995,0.06384144623368444,8,1.3421828780966534,0.06067731292081824,0.03040062407160122,0.9067845017644524,COMPLETE
1154,0.8840635386119258,2026-03-23 18:04:25.244650,2026-03-23 18:04:25.547887,0 days 00:00:00.303237,0.9992815891488136,0.8938416865077601,0.17878100280660966,8,1.1645327677095973,0.04540231045082147,0.015573464393233776,0.85364082338333,COMPLETE
1155,0.8853167155425221,2026-03-23 18:04:25.562157,2026-03-23 18:04:25.852565,0 days 00:00:00.290408,0.9828911894949924,1.592895568059644,0.11987094143221548,8,1.2629818410210303,0.02071193177036301,0.021688695373085213,0.842476049759915,COMPLETE
1156,0.8858748778103618,2026-03-23 18:04:25.870022,2026-03-23 18:04:26.138489,0 days 00:00:00.268467,0.9924093029387339,1.5417048795640333,0.14332446781064903,8,1.562512206139796,0.005188500723272287,0.03548800093365805,0.8591164190802447,COMPLETE
1157,0.8837448680351907,2026-03-23 18:04:26.154384,2026-03-23 18:04:26.404124,0 days 00:00:00.249740,0.9556922606886038,1.4198479966026385,0.16170607953994087,8,2.702202073693846,0.0773413491848345,0.026426710568551753,0.6044302276431961,COMPLETE
1158,0.8844369501466275,2026-03-23 18:04:26.420457,2026-03-23 18:04:26.708349,0 days 00:00:00.287892,0.9754370429227862,1.642165165873975,0.1160358975006395,8,1.1623590183149164,0.012233331448906083,0.04883705003858644,0.8684700820316321,COMPLETE
1159,0.8801260997067448,2026-03-23 18:04:26.723793,2026-03-23 18:04:27.245489,0 days 00:00:00.521696,0.9864084165080294,2.6014500060673367,0.018914981076617186,7,3.4940437714826706,1.443520788947489,0.013973371679417524,0.8500276648259518,COMPLETE
1160,0.8854369501466276,2026-03-23 18:04:27.261459,2026-03-23 18:04:27.557726,0 days 00:00:00.296267,0.9677399126411175,1.3474778138036514,0.13371230311759805,8,1.201290214221804,0.03052085324120856,0.019941931039112536,0.8756270414889413,COMPLETE
1161,0.8832277614858262,2026-03-23 18:04:27.573595,2026-03-23 18:04:27.890249,0 days 00:00:00.316654,0.9802053322181133,1.4663861418235786,0.1721188591125839,8,1.1281899672846594,0.00227315904429889,0.03138915625920734,0.8619210113821762,COMPLETE
1162,0.8788699902248289,2026-03-23 18:04:27.909509,2026-03-23 18:04:28.164287,0 days 00:00:00.254778,0.992712423764796,2.433896007461836,0.12691260897354414,8,8.012670101531837,0.006099787437101564,0.024472059678329206,0.837504656146495,COMPLETE
1163,0.8837800586510265,2026-03-23 18:04:28.180164,2026-03-23 18:04:28.458506,0 days 00:00:00.278342,0.9468066760366185,2.771608205124785,0.14415742007305532,8,1.4432219419481742,0.11732168176136047,0.040034589525057646,0.8824213033031945,COMPLETE
1164,0.8869051808406647,2026-03-23 18:04:28.473898,2026-03-23 18:04:28.760817,0 days 00:00:00.286919,0.9604861943170849,1.596236800170068,0.15432663350300865,8,1.2644678909331553,0.9862773928164447,0.018158860448401037,0.8943446877516639,COMPLETE
1165,0.8858328445747801,2026-03-23 18:04:28.780191,2026-03-23 18:04:29.028030,0 days 00:00:00.247839,0.9747800580874882,1.688877417122347,0.18740053809874455,8,1.1147850901016225,0.06113918962422621,0.03502231851212105,0.8695051433245552,COMPLETE
1166,0.8836041055718475,2026-03-23 18:04:29.043970,2026-03-23 18:04:29.321679,0 days 00:00:00.277709,0.9861049385322322,1.1892747032799622,0.11804921984912936,8,1.2036143053256583,0.04038320871376869,0.022589786379022272,0.7094504615280526,COMPLETE
1167,0.8844310850439883,2026-03-23 18:04:29.336580,2026-03-23 18:04:29.610715,0 days 00:00:00.274135,0.9993626517390484,2.883670093707694,0.13754654894137724,8,1.0439110253036155,0.013592602896036527,0.027336290684385513,0.8549914137584042,COMPLETE
1168,0.8860957966764419,2026-03-23 18:04:29.627712,2026-03-23 18:04:29.912653,0 days 00:00:00.284941,0.9789231824572243,1.4482360339176663,0.1113631883275009,8,1.337484652560842,0.08485340749210811,0.01538695953993675,0.8462833462870881,COMPLETE
1169,0.8843870967741936,2026-03-23 18:04:29.929247,2026-03-23 18:04:30.205352,0 days 00:00:00.276105,0.8561150291206676,1.5648794432565059,0.1259070553440647,8,1.1456839402639292,0.7808712680158333,0.04328423556453257,0.8629006632336635,COMPLETE
1170,0.8851505376344087,2026-03-23 18:04:30.221852,2026-03-23 18:04:30.498537,0 days 00:00:00.276685,0.9686468530281622,1.7050657141393912,0.16236555544953207,8,1.0735239015177367,0.027980248893182378,0.019574478116789203,0.8751337652170337,COMPLETE
1171,0.8848494623655915,2026-03-23 18:04:30.514263,2026-03-23 18:04:30.784726,0 days 00:00:00.270463,0.987177789009328,1.7807648070648499,0.1477103142933371,8,1.2194653582752755,0.11096835405133408,0.03204163706330077,0.8876985872863398,COMPLETE
1172,0.8847409579667644,2026-03-23 18:04:30.800833,2026-03-23 18:04:31.061027,0 days 00:00:00.260194,0.9542793138154876,2.5287243942405095,0.13387290043745315,8,1.0956358022207122,0.008578304535912129,0.02506915650686418,0.8502186713269558,COMPLETE
1173,0.8878739002932551,2026-03-23 18:04:31.076848,2026-03-23 18:04:31.346248,0 days 00:00:00.269400,0.9815412532404406,1.3334749203096101,0.12179395372919409,8,1.2668645514263162,0.6078277334556276,0.012147997580458309,0.8662759937792737,COMPLETE
1174,0.8883128054740959,2026-03-23 18:04:31.361782,2026-03-23 18:04:31.689420,0 days 00:00:00.327638,0.9932260369066647,1.4154364674450217,0.11675377528162487,8,1.4030777891751007,0.7676024360930924,0.012270932786334416,0.8811942666739067,COMPLETE
1175,0.8858836754643207,2026-03-23 18:04:31.704673,2026-03-23 18:04:31.997508,0 days 00:00:00.292835,0.9931967225235281,1.1757174081900816,0.11024134901574063,8,1.4238466735494548,1.0434702424106173,0.010386053526037631,0.8964627793818714,COMPLETE
1176,0.8846217008797654,2026-03-23 18:04:32.013550,2026-03-23 18:04:32.289810,0 days 00:00:00.276260,0.994677540639839,1.3898883556691002,0.11560351409156577,8,1.4018482816134923,2.0277778286071224,0.01140861558406789,0.8881793458709459,COMPLETE
1177,0.8862629521016618,2026-03-23 18:04:32.305293,2026-03-23 18:04:32.589329,0 days 00:00:00.284036,0.9935466998301525,1.222735485363205,0.1059831952986133,8,1.4308702056354776,0.5920559104789113,0.0145611743688862,0.8808999970702006,COMPLETE
1178,0.8858602150537634,2026-03-23 18:04:32.605268,2026-03-23 18:04:32.893242,0 days 00:00:00.287974,0.9938053806703263,1.2852406339866165,0.11558965146001744,8,1.3906879452946603,1.3091994704811312,0.012165319753084176,0.8855252877127352,COMPLETE
